abilities;against_bug;against_dark;against_dragon;against_electric;against_fairy;against_fight;against_fire;against_flying;against_ghost;against_grass;against_ground;against_ice;against_normal;against_poison;against_psychic;against_rock;against_steel;against_water;attack;base_egg_steps;base_happiness;base_total;capture_rate;classfication;defense;experience_growth;height_m;hp;japanese_name;english_name;french_name;percentage_male;pokedex_number;sp_attack;sp_defense;speed;type1;type2;weight_kg;generation;is_legendary
Shadow Tag, Telepathy;2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1;33;5120;70;405;45;Patient Pokemon;58;1000000;1.3;190;Sonans?????;Wobbuffet;Qulbutoké;50;202;33;58;33;psychic;;28.5;2;0
Inner Focus, Early Bird, Sap Sipper;2;2;1;1;1;1;1;1;0;1;1;1;1;1;0.5;1;1;1;80;5120;70;455;60;Long Neck Pokemon;65;1000000;1.5;70;Kirinriki?????;Girafarig;Girafarig;50;203;90;65;85;normal;psychic;41.5;2;0
Sturdy, Overcoat;1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;65;5120;70;290;190;Bagworm Pokemon;90;1000000;0.6;50;Kunugidama?????;Pineco;Pomdepik;50;204;35;35;15;bug;;7.2;2;0
Sturdy, Overcoat;0.5;1;0.5;1;0.5;1;4;1;1;0.25;1;0.5;0.5;0;0.5;1;0.5;1;90;5120;70;465;75;Bagworm Pokemon;140;1000000;1.2;75;Foretos?????;Forretress;Foretress;50;205;60;60;40;bug;steel;125.8;2;0
Serene Grace, Run Away, Rattled;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;70;5120;70;415;190;Land Snake Pokemon;70;1000000;1.5;100;Nokocchi????;Dunsparce;Insolourdo;50;206;65;65;45;normal;;14.0;2;0
Hyper Cutter, Sand Veil, Immunity;0.5;1;1;0;1;0.5;1;1;1;1;0;4;1;0.5;1;1;1;2;75;5120;70;430;60;Flyscorpion Pokemon;105;1059860;1.1;65;Gliger?????;Gligar;Scorplane;50;207;35;65;85;ground;flying;64.8;2;0
Rock Head, Sturdy, Sheer Force;0.5;1;0.5;0;0.5;2;2;0.5;1;1;2;1;0.5;0;0.5;0.25;0.5;2;125;6400;70;610;25;Iron Snake Pokemon;230;1000000;9.2;75;Haganeil?????;Steelix;Steelix;50;208;55;95;30;steel;ground;400.0;2;0
Intimidate, Run Away, Rattled;0.5;0.5;0;1;1;0.5;1;1;1;1;1;1;1;2;1;1;2;1;80;5120;70;300;190;Fairy Pokemon;50;800000;0.6;60;Bulu???;Snubbull;Snubbull;24.6;209;40;40;30;fairy;;7.8;2;0
Intimidate, Quick Feet, Rattled;0.5;0.5;0;1;1;0.5;1;1;1;1;1;1;1;2;1;1;2;1;120;5120;70;450;75;Fairy Pokemon;75;800000;1.4;90;Granbulu?????;Granbull;Granbull;24.6;210;60;60;45;fairy;;48.7;2;0
Poison Point, Swift Swim, Intimidate;0.5;1;1;2;0.5;0.5;0.5;1;1;1;2;0.5;1;0.5;2;1;0.5;0.5;95;5120;70;440;45;Balloon Pokemon;85;1000000;0.5;65;Harysen?????;Qwilfish;Qwilfish;50;211;55;55;85;water;poison;3.9;2;0
Swarm, Technician, Light Metal;0.5;1;0.5;1;0.5;1;4;1;1;0.25;1;0.5;0.5;0;0.5;1;0.5;1;150;6400;70;600;25;Pincer Pokemon;140;1000000;1.8;70;Hassam????;Scizor;Cizayox;50;212;65;100;75;bug;steel;118.0;2;0
Sturdy, Gluttony, Contrary;1;1;1;1;1;1;1;1;1;1;1;1;0.5;0.5;1;2;2;2;10;5120;70;505;190;Mold Pokemon;230;1059860;0.6;20;Tsubotsubo????;Shuckle;Caratroc;50;213;10;230;5;bug;rock;20.5;2;0
Swarm, Guts, Moxie;0.5;0.5;1;1;2;0.5;2;4;1;0.5;0.5;1;1;1;2;1;1;1;185;6400;70;600;45;Singlehorn Pokemon;115;1250000;1.5;80;Heracros?????;Heracross;Scarhino;50;214;40;105;75;bug;fighting;54.0;2;0
Inner Focus, Keen Eye, Pickpocket;2;0.5;1;1;2;4;2;1;0.5;1;1;0.5;1;1;0;2;2;1;95;5120;35;430;60;Sharp Claw Pokemon;55;1059860;0.9;55;Nyula????;Sneasel;Farfuret;50;215;35;75;115;dark;ice;28.0;2;0
Pickup, Quick Feet, Honey Gather;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;80;5120;70;330;120;Little Bear Pokemon;50;1000000;0.6;60;Himeguma????;Teddiursa;Teddiursa;50;216;50;50;40;normal;;8.8;2;0
Guts, Quick Feet, Unnerve;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;130;5120;70;500;60;Hibernator Pokemon;75;1000000;1.8;90;Ringuma????;Ursaring;Ursaring;50;217;75;75;55;normal;;125.8;2;0
Magma Armor, Flame Body, Weak Armor;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;40;5120;70;250;190;Lava Pokemon;40;1000000;0.7;40;Magmag?????;Slugma;Limagma;50;218;70;40;20;fire;;35.0;2;0
Magma Armor, Flame Body, Weak Armor;0.5;1;1;1;0.5;2;0.25;0.5;1;1;4;0.5;0.5;0.5;1;2;1;4;50;5120;70;430;75;Lava Pokemon;120;1000000;0.8;60;Magcargot?????;Magcargo;Volcaropod;50;219;90;80;30;fire;rock;55.0;2;0
Oblivious, Snow Cloak, Thick Fat;1;1;1;0;1;2;2;1;1;2;1;1;1;0.5;1;1;2;2;50;5120;70;250;225;Pig Pokemon;40;1250000;0.4;50;Urimoo????;Swinub;Marcacrin;50;220;30;30;50;ice;ground;6.5;2;0
Oblivious, Snow Cloak, Thick Fat;1;1;1;0;1;2;2;1;1;2;1;1;1;0.5;1;1;2;2;100;5120;70;450;75;Swine Pokemon;80;1250000;1.1;100;Inomoo????;Piloswine;Cochignon;50;221;60;60;50;ice;ground;55.8;2;0
Hustle, Natural Cure, Regenerator;1;1;1;2;1;2;0.25;0.5;1;4;2;0.5;0.5;0.5;1;1;1;1;55;5120;70;410;60;Coral Pokemon;95;800000;0.6;65;Sunnygo????;Corsola;Corayon;24.6;222;65;95;35;water;rock;5.0;2;0
Hustle, Sniper, Moody;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;65;5120;70;300;190;Jet Pokemon;35;1000000;0.6;35;Teppouo?????;Remoraid;Rémoraid;50;223;65;35;65;water;;12.0;2;0
Suction Cups, Sniper, Moody;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;105;5120;70;480;75;Jet Pokemon;75;1000000;0.9;75;Okutank????;Octillery;Octillery;50;224;105;75;45;water;;28.5;2;0
Vital Spirit, Hustle, Insomnia;0.5;1;1;2;1;1;2;1;1;0.5;0;1;1;1;1;4;2;1;55;5120;70;330;45;Delivery Pokemon;45;800000;0.9;45;Delibird?????;Delibird;Cadoizo;50;225;65;45;75;ice;flying;16.0;2;0
Swift Swim, Water Absorb, Water Veil;0.5;1;1;4;1;0.5;0.5;1;1;1;0;1;1;1;1;2;0.5;0.5;40;6400;70;485;25;Kite Pokemon;70;1250000;2.1;85;Mantain?????;Mantine;Démanta;50;226;80;140;70;water;flying;220.0;2;0
Keen Eye, Sturdy, Weak Armor;0.25;1;0.5;2;0.5;1;2;0.5;1;0.25;0;1;0.5;0;0.5;1;0.5;1;80;6400;70;465;25;Armor Bird Pokemon;140;1250000;1.7;65;Airmd?????;Skarmory;Airmure;50;227;40;70;70;steel;flying;50.5;2;0
Early Bird, Flash Fire, Unnerve;1;0.5;1;1;1;2;0.5;1;0.5;0.5;2;0.5;1;1;0;2;0.5;2;60;5120;35;330;120;Dark Pokemon;30;1250000;0.6;45;Delvil????;Houndour;Malosse;50;228;80;50;65;dark;fire;10.8;2;0
Early Bird, Flash Fire, Unnerve;1;0.5;1;1;1;2;0.5;1;0.5;0.5;2;0.5;1;1;0;2;0.5;2;90;5120;35;600;45;Dark Pokemon;90;1250000;1.4;75;Hellgar????;Houndoom;Démolosse;50;229;140;90;115;dark;fire;35.0;2;0
Swift Swim, Sniper, Damp;1;1;2;1;2;1;0.25;1;1;1;1;1;1;1;1;1;0.5;0.25;95;5120;70;540;45;Dragon Pokemon;95;1000000;1.8;75;Kingdra?????;Kingdra;Hyporoi;50;230;95;95;85;water;dragon;152.0;2;0
Pickup, Sand Veil;1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2;60;5120;70;330;120;Long Nose Pokemon;60;1000000;0.5;90;Gomazou????;Phanpy;Phanpy;50;231;40;40;40;ground;;33.5;2;0
Sturdy, Sand Veil;1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2;120;5120;70;500;60;Armor Pokemon;120;1000000;1.1;90;Donfan?????;Donphan;Donphan;50;232;60;60;50;ground;;120.0;2;0
Trace, Download, Analytic;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;80;5120;70;515;45;Virtual Pokemon;90;1000000;0.6;85;Porygon2?????;Porygon2;Porygon2;;233;105;95;60;normal;;32.5;2;0
Intimidate, Frisk, Sap Sipper;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;95;5120;70;465;45;Big Horn Pokemon;62;1250000;1.4;73;Odoshishi????;Stantler;Cerfrousse;50;234;85;65;85;normal;;71.2;2;0
Own Tempo, Technician, Moody;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;20;5120;70;250;45;Painter Pokemon;35;800000;1.2;55;Doble????;Smeargle;Queulorior;50;235;20;45;75;normal;;58.0;2;0
Guts, Steadfast, Vital Spirit;0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;35;6400;70;210;75;Scuffle Pokemon;35;1000000;0.7;35;Balkie????;Tyrogue;Débugant;100;236;35;35;35;fighting;;21.0;2;0
Intimidate, Technician, Steadfast;0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;95;6400;70;455;45;Handstand Pokemon;95;1000000;1.4;50;Kapoerer?????;Hitmontop;Kapoera;100;237;35;110;70;fighting;;48.0;2;0
Oblivious, Forewarn, Hydration;2;2;1;1;1;1;2;1;2;1;1;0.5;1;1;0.5;2;2;1;30;6400;70;305;45;Kiss Pokemon;15;1000000;0.4;45;Muchul?????;Smoochum;Lippouti;0;238;85;65;65;ice;psychic;6.0;2;0
Static, Vital Spirit;1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;63;6400;70;360;45;Electric Pokemon;37;1000000;0.6;45;Elekid?????;Elekid;Elekid;75.4;239;65;55;95;electric;;23.5;2;0
Flame Body, Vital Spirit;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;75;6400;70;365;45;Live Coal Pokemon;37;1000000;0.7;45;Buby???;Magby;Magby;75.4;240;70;55;83;fire;;21.4;2;0
Thick Fat, Scrappy, Sap Sipper;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;80;5120;70;490;45;Milk Cow Pokemon;105;1250000;1.2;95;Miltank?????;Miltank;Ecremeuh;0;241;40;70;100;normal;;75.5;2;0
Natural Cure, Serene Grace, Healer;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;10;10240;140;540;30;Happiness Pokemon;10;800000;1.5;255;Happinas????;Blissey;Leuphorie;0;242;75;135;55;normal;;46.8;2;0
Pressure, Inner Focus;1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;85;20480;35;580;3;Thunder Pokemon;75;1250000;1.9;90;Raikou????;Raikou;Raikou;;243;115;100;115;electric;;178.0;2;1
Pressure, Inner Focus;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;115;20480;35;580;3;Volcano Pokemon;85;1250000;2.1;115;Entei????;Entei;Entei;;244;90;75;100;fire;;198.0;2;1
Pressure, Inner Focus;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;75;20480;35;580;3;Aurora Pokemon;115;1250000;2.0;100;Suicune????;Suicune;Suicune;;245;90;115;85;water;;187.0;2;1
Guts, Sand Veil;1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4;64;10240;35;300;45;Rock Skin Pokemon;50;1250000;0.6;50;Yogiras?????;Larvitar;Embrylex;50;246;45;50;41;rock;ground;72.0;2;0
Shed Skin;1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4;84;10240;35;410;45;Hard Shell Pokemon;70;1250000;1.2;70;Sanagiras?????;Pupitar;Ymphect;50;247;65;70;51;rock;ground;152.0;2;0
Sand Stream, Unnerve;2;0.5;1;1;2;4;0.5;0.5;0.5;2;2;1;0.5;0.5;0;1;2;2;164;10240;35;700;45;Armor Pokemon;150;1250000;2.0;100;Bangiras?????;Tyranitar;Tyranocif;50;248;95;120;71;rock;dark;202.0;2;0
Pressure, Multiscale;1;2;1;2;1;0.25;1;1;2;0.5;0;2;1;1;0.5;2;1;1;90;30720;0;680;3;Diving Pokemon;130;1250000;5.2;106;Lugia???;Lugia;Lugia;;249;90;154;110;psychic;flying;216.0;2;1
Pressure, Regenerator;0.25;1;1;2;0.5;0.5;0.5;1;1;0.25;0;1;1;1;1;4;0.5;2;130;30720;0;680;3;Rainbow Pokemon;90;1250000;3.8;106;Houou????;Ho-Oh;Ho-Oh;;250;110;154;90;fire;flying;199.0;2;1
Natural Cure;4;2;1;0.5;1;0.5;2;2;2;0.5;0.5;2;1;2;0.5;1;1;0.5;100;30720;100;600;45;Time Travel Pokemon;100;1059860;0.6;100;Celebi????;Celebi;Célébi;;251;100;100;100;psychic;grass;5.0;2;1
Overgrow, Unburden;2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;45;5120;70;310;45;Wood Gecko Pokemon;35;1059860;0.5;40;Kimori???;Treecko;Arcko;88.1;252;65;55;70;grass;;5.0;3;0
Overgrow, Unburden;2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;65;5120;70;405;45;Wood Gecko Pokemon;45;1059860;0.9;50;Juptile?????;Grovyle;Massko;88.1;253;85;65;95;grass;;21.6;3;0
Overgrow, Unburden;2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;110;5120;70;630;45;Forest Pokemon;75;1059860;1.7;70;Jukain?????;Sceptile;Jungko;88.1;254;145;85;145;grass;;52.2;3;0
Blaze, Speed Boost;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;60;5120;70;310;45;Chick Pokemon;40;1059860;0.4;45;Achamo????;Torchic;Poussifeu;88.1;255;70;50;45;fire;;2.5;3;0
Blaze, Speed Boost;0.25;0.5;1;1;1;1;0.5;2;1;0.5;2;0.5;1;1;2;1;0.5;2;85;5120;70;405;45;Young Fowl Pokemon;60;1059860;0.9;60;Wakasyamo?????;Combusken;Galifeu;88.1;256;85;60;55;fire;fighting;19.5;3;0
Blaze, Speed Boost;0.25;0.5;1;1;1;1;0.5;2;1;0.5;2;0.5;1;1;2;1;0.5;2;160;5120;70;630;45;Blaze Pokemon;80;1059860;1.9;80;Bursyamo?????;Blaziken;Braségali;88.1;257;130;80;100;fire;fighting;52.0;3;0
Torrent, Damp;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;70;5120;70;310;45;Mud Fish Pokemon;50;1059860;0.4;50;Mizugorou?????;Mudkip;Gobou;88.1;258;50;50;40;water;;7.6;3;0
Torrent, Damp;1;1;1;0;1;1;0.5;1;1;4;1;1;1;0.5;1;0.5;0.5;1;85;5120;70;405;45;Mud Fish Pokemon;70;1059860;0.7;70;Numacraw?????;Marshtomp;Flobio;88.1;259;60;70;50;water;ground;28.0;3;0
Torrent, Damp;1;1;1;0;1;1;0.5;1;1;4;1;1;1;0.5;1;0.5;0.5;1;150;5120;70;635;45;Mud Fish Pokemon;110;1059860;1.5;100;Laglarge?????;Swampert;Laggron;88.1;260;95;110;70;water;ground;81.9;3;0
Run Away, Quick Feet, Rattled;2;0.5;1;1;2;2;1;1;0.5;1;1;1;1;1;0;1;1;1;55;3840;70;220;255;Bite Pokemon;35;1000000;0.5;35;Pochiena????;Poochyena;Medhyèna;50;261;30;30;35;dark;;13.6;3;0
Intimidate, Quick Feet, Moxie;2;0.5;1;1;2;2;1;1;0.5;1;1;1;1;1;0;1;1;1;90;3840;70;420;127;Bite Pokemon;70;1000000;1.0;70;Graena????;Mightyena;Grahyèna;50;262;60;60;70;dark;;37.0;3;0
Pickup, Gluttony, Quick Feet;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;30;3840;70;240;255;Tiny Racoon Pokemon;41;1000000;0.4;38;Jiguzaguma?????;Zigzagoon;Zigzaton;50;263;30;41;60;normal;;17.5;3;0
Pickup, Gluttony, Quick Feet;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;70;3840;70;420;90;Rush Pokemon;61;1000000;0.5;78;Massuguma?????;Linoone;Linéon;50;264;50;61;100;normal;;32.5;3;0
Shield Dust, Run Away;1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;45;3840;70;195;255;Worm Pokemon;35;1000000;0.3;45;Kemusso????;Wurmple;Chenipotte;50;265;20;30;20;bug;;3.6;3;0
Shed Skin;1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;35;3840;70;205;120;Cocoon Pokemon;55;1000000;0.6;50;Karasalis?????;Silcoon;Armulys;50;266;25;25;15;bug;;10.0;3;0
Swarm, Rivalry;0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1;70;3840;70;395;45;Butterfly Pokemon;50;1000000;1.0;60;Agehunt?????;Beautifly;Charmillon;50;267;100;50;65;bug;flying;28.4;3;0
Shed Skin;1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;35;3840;70;205;120;Cocoon Pokemon;55;1000000;0.7;50;Mayuld????;Cascoon;Blindalys;50;268;25;25;15;bug;;11.5;3;0
Shield Dust, Compoundeyes;0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;50;3840;70;385;45;Poison Moth Pokemon;70;1000000;1.2;60;Dokucale?????;Dustox;Papinox;50;269;50;90;65;bug;poison;31.6;3;0
Swift Swim, Rain Dish, Own Tempo;2;1;1;1;1;1;1;2;1;1;0.5;1;1;2;1;1;0.5;0.25;30;3840;70;220;255;Water Weed Pokemon;30;1059860;0.5;40;Hassboh????;Lotad;Nénupiot;50;270;40;50;30;water;grass;2.6;3;0
Swift Swim, Rain Dish, Own Tempo;2;1;1;1;1;1;1;2;1;1;0.5;1;1;2;1;1;0.5;0.25;50;3840;70;340;120;Jolly Pokemon;50;1059860;1.2;60;Hasubrero?????;Lombre;Lombre;50;271;60;70;50;water;grass;32.5;3;0
Swift Swim, Rain Dish, Own Tempo;2;1;1;1;1;1;1;2;1;1;0.5;1;1;2;1;1;0.5;0.25;70;3840;70;480;45;Carefree Pokemon;70;1059860;1.5;80;Runpappa?????;Ludicolo;Ludicolo;50;272;90;100;70;water;grass;55.0;3;0
Chlorophyll, Early Bird, Pickpocket;2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;40;3840;70;220;255;Acorn Pokemon;50;1059860;0.5;40;Taneboh????;Seedot;Grainipiot;50;273;30;30;30;grass;;4.0;3;0
Chlorophyll, Early Bird, Pickpocket;4;0.5;1;0.5;2;2;2;2;0.5;0.5;0.5;2;1;2;0;1;1;0.5;70;3840;70;340;120;Wily Pokemon;40;1059860;1.0;70;Konohana????;Nuzleaf;Pifeuil;50;274;60;40;60;grass;dark;28.0;3;0
Chlorophyll, Early Bird, Pickpocket;4;0.5;1;0.5;2;2;2;2;0.5;0.5;0.5;2;1;2;0;1;1;0.5;100;3840;70;480;45;Wickid Pokemon;60;1059860;1.3;90;Dirteng?????;Shiftry;Tengalice;50;275;90;60;80;grass;dark;59.6;3;0
Guts, Scrappy;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;55;3840;70;270;200;TinySwallow Pokemon;30;1059860;0.3;40;Subame???;Taillow;Nirondelle;50;276;30;30;85;normal;flying;2.3;3;0
Guts, Scrappy;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;85;3840;70;455;45;Swallow Pokemon;60;1059860;0.7;60;Ohsubame?????;Swellow;Hélédelle;50;277;75;50;125;normal;flying;19.8;3;0
Keen Eye, Hydration, Rain Dish;0.5;1;1;4;1;0.5;0.5;1;1;1;0;1;1;1;1;2;0.5;0.5;30;5120;70;270;190;Seagull Pokemon;30;1000000;0.6;40;Camome????;Wingull;Goélise;50;278;55;30;85;water;flying;9.5;3;0
Keen Eye, Drizzle, Rain Dish;0.5;1;1;4;1;0.5;0.5;1;1;1;0;1;1;1;1;2;0.5;0.5;50;5120;70;440;45;Water Bird Pokemon;100;1000000;1.2;60;Pelipper?????;Pelipper;Bekipan;50;279;95;70;65;water;flying;28.0;3;0
Synchronize, Trace, Telepathy;1;1;0;1;1;0.25;1;1;2;1;1;1;1;2;0.5;1;2;1;25;5120;35;198;235;Feeling Pokemon;25;1250000;0.4;28;Ralts????;Ralts;Tarsal;50;280;45;35;40;psychic;fairy;6.6;3;0
Synchronize, Trace, Telepathy;1;1;0;1;1;0.25;1;1;2;1;1;1;1;2;0.5;1;2;1;35;5120;35;278;120;Emotion Pokemon;35;1250000;0.8;38;Kirlia????;Kirlia;Kirlia;50;281;65;55;50;psychic;fairy;20.2;3;0
Synchronize, Trace, Telepathy;1;1;0;1;1;0.25;1;1;2;1;1;1;1;2;0.5;1;2;1;85;5120;35;618;45;Embrace Pokemon;65;1250000;1.6;68;Sirnight?????;Gardevoir;Gardevoir;50;282;165;135;100;psychic;fairy;48.4;3;0
Swift Swim, Rain Dish;1;1;1;2;1;0.5;1;2;1;1;0.5;0.5;1;1;1;2;0.5;0.5;30;3840;70;269;200;Pond Skater Pokemon;32;1000000;0.5;40;Ametama????;Surskit;Arakdo;50;283;50;52;65;bug;water;1.7;3;0
Intimidate, Unnerve;0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1;60;3840;70;454;75;Eyeball Pokemon;62;1000000;0.8;70;Amemoth?????;Masquerain;Maskadra;50;284;100;82;80;bug;flying;3.6;3;0
Effect Spore, Poison Heal, Quick Feet;2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;40;3840;70;295;255;Mushroom Pokemon;60;1640000;0.4;60;Kinococo????;Shroomish;Balignon;50;285;40;60;35;grass;;4.5;3;0
Effect Spore, Poison Heal, Technician;1;0.5;1;0.5;2;1;2;4;1;0.5;0.5;2;1;2;2;0.5;1;0.5;130;3840;70;460;90;Mushroom Pokemon;80;1640000;1.2;60;Kinogassa?????;Breloom;Chapignon;50;286;60;60;70;grass;fighting;39.2;3;0
Truant;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;60;3840;70;280;255;Slacker Pokemon;60;1250000;0.8;60;Namakero????;Slakoth;Parecool;50;287;35;35;30;normal;;24.0;3;0
Vital Spirit;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;80;3840;70;440;120;Wild Monkey Pokemon;80;1250000;1.4;80;Yarukimono?????;Vigoroth;Vigoroth;50;288;55;55;90;normal;;46.5;3;0
Truant;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;160;3840;70;670;45;Lazy Pokemon;100;1250000;2.0;150;Kekking?????;Slaking;Manoflèmit;50;289;95;65;100;normal;;130.5;3;0
Compoundeyes, Run Away;1;1;1;0;1;0.5;2;2;1;1;0.5;2;1;0.5;1;1;1;2;45;3840;70;266;255;Trainee Pokemon;90;600000;0.5;31;Tutinin????;Nincada;Ningale;50;290;30;30;40;bug;ground;5.5;3;0
Speed Boost, Infiltrator;0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1;90;3840;70;456;120;Ninja Pokemon;45;600000;0.8;61;Tekkanin?????;Ninjask;Ninjask;50;291;50;50;160;bug;flying;12.0;3;0
Wonder Guard;0.5;2;1;1;1;0;2;2;2;0.5;0.5;1;0;0.5;1;2;1;1;90;3840;70;236;45;Shed Pokemon;45;600000;0.8;1;Nukenin????;Shedinja;Munja;;292;30;30;40;bug;ghost;1.2;3;0
Soundproof, Rattled;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;51;5120;70;240;190;Whisper Pokemon;23;1059860;0.6;64;Gonyonyo?????;Whismur;Chuchmur;50;293;51;23;28;normal;;16.3;3;0
Soundproof, Scrappy;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;71;5120;70;360;120;Big Voice Pokemon;43;1059860;1.0;84;Dogohmb????;Loudred;Ramboum;50;294;71;43;48;normal;;40.5;3;0
Soundproof, Scrappy;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;91;5120;70;490;45;Loud Noise Pokemon;63;1059860;1.5;104;Bakuong?????;Exploud;Brouhabam;50;295;91;73;68;normal;;84.0;3;0
Thick Fat, Guts, Sheer Force;0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;60;5120;70;237;180;Guts Pokemon;30;1640000;1.0;72;Makunoshita?????;Makuhita;Makuhita;75.4;296;20;30;25;fighting;;86.4;3;0
Thick Fat, Guts, Sheer Force;0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;120;5120;70;474;200;Arm Thrust Pokemon;60;1640000;2.3;144;Hariteyama?????;Hariyama;Hariyama;75.4;297;40;60;50;fighting;;253.8;3;0
Thick Fat, Huge Power, Sap Sipper;0.5;0.5;0;1;1;1;1;1;0;1;1;1;1;2;1;1;2;1;20;2560;70;190;150;Polka Dot Pokemon;40;800000;0.2;50;Ruriri???;Azurill;Azurill;24.6;298;20;40;20;normal;fairy;2.0;3;0
Sturdy, Magnet Pull, Sand Force;1;1;1;1;1;2;0.5;0.5;1;2;2;1;0.5;0.5;1;1;2;2;45;5120;70;375;255;Compass Pokemon;135;1000000;1.0;30;Nosepass????;Nosepass;Tarinor;50;299;45;90;30;rock;;97.0;3;0
Cute Charm, Normalize, Wonder Skin ;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;45;3840;70;260;255;Kitten Pokemon;45;800000;0.6;50;Eneco???;Skitty;Skitty;24.6;300;35;35;50;normal;;11.0;3;0
Cute Charm, Normalize, Wonder Skin ;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;65;3840;70;400;60;Prim Pokemon;65;800000;1.1;70;Enekororo?????;Delcatty;Delcatty;24.6;301;55;55;90;normal;;32.6;3;0
Keen Eye, Stall, Prankster;1;1;1;1;2;0;1;1;1;1;1;1;0;0.5;0;1;1;1;85;6400;35;480;45;Darkness Pokemon;125;1059860;0.5;50;Yamirami????;Sableye;Ténéfix;50;302;85;115;20;dark;ghost;11.0;3;0
Hyper Cutter, Intimidate, Sheer Force;0.25;0.5;0;1;0.5;1;2;0.5;1;0.5;2;0.5;0.5;0;0.5;0.5;1;1;105;5120;70;480;45;Deceiver Pokemon;125;800000;0.6;50;Kucheat????;Mawile;Mystibule;50;303;55;95;50;steel;fairy;11.5;3;0
Sturdy, Rock Head, Heavy Metal;0.5;1;0.5;1;0.5;4;1;0.25;1;1;4;0.5;0.25;0;0.5;0.5;1;2;70;8960;35;330;180;Iron Armor Pokemon;100;1250000;0.4;50;Cokodora????;Aron;Galekid;50;304;40;40;30;steel;rock;60.0;3;0
